Iteration,Year,Sex,AFR
1,1,F,9.74874419717431
2,1,F,10.1568902720479
3,1,F,10.0021198720168
4,1,F,9.75765444033301
5,1,F,9.95529524045804
6,1,F,10.1450159984028
7,1,F,9.92449326851883
8,1,F,9.5956263782265
9,1,F,9.79385573508416
10,1,F,10.2763044938156
11,1,F,9.82275337588112
12,1,F,9.97297662286316
13,1,F,9.81031288177718
14,1,F,10.3242080805986
15,1,F,10.3428248636129
16,1,F,10.015439973314
17,1,F,9.93928919554763
18,1,F,9.90163067849532
19,1,F,10.3898825189847
20,1,F,9.61996508366958
21,1,F,10.6887673352784
22,1,F,10.1518120683862
23,1,F,10.2979634556007
24,1,F,9.96485780840485
25,1,F,9.92369052449187
26,1,F,9.78291393611096
27,1,F,9.71233731447115
28,1,F,10.3819096954165
29,1,F,10.111251855991
30,1,F,10.0087319601868
31,1,F,9.96838753444828
32,1,F,9.6837263437236
33,1,F,9.83839603162868
34,1,F,9.88935238020467
35,1,F,10.1640824545046
36,1,F,9.98866174125624
37,1,F,9.97856234407424
38,1,F,9.79926279875331
39,1,F,10.1031675099113
40,1,F,10.250462393272
41,1,F,10.1313426597525
42,1,F,9.98264283619589
43,1,F,10.0321504252887
44,1,F,9.65138502598242
45,1,F,9.74330677176694
46,1,F,9.8666879886721
47,1,F,9.96455278125931
48,1,F,10.010676909836
49,1,F,10.036295867193
50,1,F,10.1398189665577
51,1,F,9.76841134347134
52,1,F,10.1883252952241
53,1,F,9.7791190493361
54,1,F,10.3553938382072
55,1,F,10.1676846502865
56,1,F,10.2975362647555
57,1,F,10.1901244920302
58,1,F,10.2200250107426
59,1,F,10.0103517638781
60,1,F,10.0903311248902
61,1,F,10.3632312486662
62,1,F,9.8944783793474
63,1,F,9.94692184121095
64,1,F,9.61710405630143
65,1,F,9.85334174224738
66,1,F,9.83482950792129
67,1,F,9.93350280478403
68,1,F,10.167079421224
69,1,F,10.0086352882701
70,1,F,10.1635592308458
71,1,F,9.94818016923668
72,1,F,9.69621383835388
73,1,F,10.1200009647277
74,1,F,10.053194827952
75,1,F,9.96127573400644
76,1,F,9.98198976168636
77,1,F,9.89251639829968
78,1,F,9.86551372537548
79,1,F,9.94407057020678
80,1,F,9.68758288893731
81,1,F,9.76203509735996
82,1,F,10.0928037038121
83,1,F,10.4616287180807
84,1,F,10.1020844075022
85,1,F,9.94278336464776
86,1,F,9.96679297718476
87,1,F,10.0388058172164
88,1,F,9.82467935027053
89,1,F,9.78295773566013
90,1,F,10.0321066022692
91,1,F,10.377285703125
92,1,F,9.66005465323972
93,1,F,9.66635755565284
94,1,F,10.0682352277219
95,1,F,10.0725275487514
96,1,F,10.0199809024306
97,1,F,10.0396333729864
98,1,F,9.89234831953308
99,1,F,9.60655550821139
100,1,F,9.98577232308003
1,2,F,9.66808984633912
2,2,F,10.0136620597581
3,2,F,9.89596018386368
4,2,F,9.6721149984518
5,2,F,9.84928531470336
6,2,F,10.0217747493104
7,2,F,9.82265759953661
8,2,F,9.53193616502564
9,2,F,9.70720233041691
10,2,F,10.1454920696657
11,2,F,9.73610597452058
12,2,F,9.86519799581413
13,2,F,9.72879039204637
14,2,F,10.1711856647923
15,2,F,10.1877330786707
16,2,F,9.91538092225915
17,2,F,9.83733560187838
18,2,F,9.79909231938075
19,2,F,10.241158105166
20,2,F,9.5377055367846
21,2,F,10.4919779778663
22,2,F,10.0451836862648
23,2,F,10.1584008147353
24,2,F,9.85056401400747
25,2,F,9.81466644635672
26,2,F,9.69277270952677
27,2,F,9.62496296760465
28,2,F,10.2283008125562
29,2,F,9.99206848283772
30,2,F,9.90676710503764
31,2,F,9.86516781917846
32,2,F,9.59911699215119
33,2,F,9.74207992555018
