Iteration,Cohort,Sex,AFR
7,3,F,9.36203099387624
8,3,F,9.03070207544464
9,3,F,9.08153107585161
10,3,F,9.29295209350388
11,3,F,8.94380122024926
12,3,F,9.3824850263907
13,3,F,9.91817133058023
14,3,F,9.40712640195318
15,3,F,9.03440928194416
16,3,F,9.15332450176274
17,3,F,9.23633190548292
18,3,F,8.97887826049656
19,3,F,8.87543865449144
20,3,F,9.49526273701776
21,3,F,9.54935988934486
22,3,F,8.97207910907901
23,3,F,9.39612641625363
24,3,F,9.13578119152177
25,3,F,9.80680638434734
26,3,F,9.07959846044271
27,3,F,8.95926614599088
28,3,F,9.17303135015733
29,3,F,9.39522682577654
30,3,F,9.0801924018818
31,3,F,9.38894065347174
32,3,F,9.19439806950659
33,3,F,9.40040378978394
34,3,F,9.02965557936593
35,3,F,9.39630188207552
36,3,F,9.19527784676553
37,3,F,9.25736227017153
38,3,F,9.31664212892881
39,3,F,9.49405585971675
40,3,F,8.79650194252093
41,3,F,9.17215239171596
42,3,F,9.17934683137456
43,3,F,9.12231915316332
44,3,F,9.37421426898529
45,3,F,9.12662828086366
46,3,F,9.05992614563479
47,3,F,9.10304984946788
48,3,F,9.28990223282616
49,3,F,9.15933979039436
50,3,F,9.26445399111042
51,3,F,9.09965346490099
52,3,F,9.23748345189452
53,3,F,9.13755370213335
54,3,F,9.43498878339203
55,3,F,8.81015077921685
56,3,F,9.37514281434481
57,3,F,9.27065371579713
58,3,F,9.25134260681533
59,3,F,9.15144804372501
60,3,F,9.02514594639416
61,3,F,9.39278601230155
62,3,F,9.04314632089915
63,3,F,9.04283347870147
64,3,F,9.24535681050919
65,3,F,8.99308037783238
66,3,F,9.53123226064565
67,3,F,9.21342082041389
68,3,F,9.0078104308434
69,3,F,9.21671187081639
70,3,F,9.22971592002217
71,3,F,9.22250571689151
72,3,F,9.12182503203825
73,3,F,8.95098283422512
74,3,F,9.32792170486404
75,3,F,9.49033683946604
76,3,F,9.27447951295942
77,3,F,9.19131324050212
78,3,F,9.51278401566725
79,3,F,9.18509020795207
80,3,F,9.30987338794482
81,3,F,9.18891651741605
82,3,F,9.21848158953964
83,3,F,9.27435210875042
84,3,F,9.00390533585322
85,3,F,8.89670379975302
86,3,F,9.0226651447282
87,3,F,9.05344178332755
88,3,F,9.30640336895603
89,3,F,9.11673551380566
90,3,F,9.40660961041335
91,3,F,9.00287442014309
92,3,F,9.07223664446272
93,3,F,8.87105187328622
94,3,F,9.21872647960182
95,3,F,9.05847987059626
96,3,F,9.18235832459205
97,3,F,9.17952562888325
98,3,F,9.56811486248929
99,3,F,9.30610626424576
100,3,F,9.13094934143776
1,4,F,9.23249586881766
2,4,F,9.06481010927965
3,4,F,9.097446830965
4,4,F,8.98342069894655
5,4,F,9.38992130431763
6,4,F,9.298509662203
7,4,F,9.38429531182459
8,4,F,9.23839364752542
9,4,F,9.31356780564098
10,4,F,9.13083151565318
11,4,F,9.20115855522994
12,4,F,9.16177201239234
13,4,F,8.98701116180164
14,4,F,8.99438520426474
15,4,F,9.0838899983608
16,4,F,9.21066281748707
17,4,F,9.53548767817105
18,4,F,9.22554004381146
19,4,F,9.11796614000014
20,4,F,8.97032686945987
21,4,F,8.94819789114478
22,4,F,9.28806944347734
23,4,F,9.20614245494058
24,4,F,9.32302897691815
25,4,F,9.20100322025377
26,4,F,8.98026343381429
27,4,F,9.32199280496373
28,4,F,9.10443113166313
29,4,F,9.27533629755596
30,4,F,9.05374518600364
31,4,F,9.3759975839297
32,4,F,9.23544132393716
33,4,F,9.10011110288821
34,4,F,8.97456446303117
35,4,F,9.41050777697791
36,4,F,9.0657958193779
37,4,F,8.81844372315976
38,4,F,9.34360849878757
39,4,F,9.00916914744388
40,4,F,8.82379752286601
41,4,F,9.20078295002098
42,4,F,9.31981551419358
43,4,F,8.969531831836
44,4,F,9.08920510663951
45,4,F,9.12904783261914
46,4,F,8.96868828690989
47,4,F,9.20138977647471
48,4,F,9.17990033734801
49,4,F,9.21146339625889
50,4,F,9.03802169356012
51,4,F,9.05587702853941
52,4,F,9.16026227850674
53,4,F,9.05191051544211
54,4,F,9.01769486485511
55,4,F,9.21217133026725
56,4,F,9.24030552007518
57,4,F,9.11215193743657
58,4,F,8.75390105402983
59,4,F,9.00570612003381
60,4,F,8.91554396625119
61,4,F,9.1265159964545
62,4,F,8.97542967657976
63,4,F,9.06793022006419
64,4,F,9.29696302189517
65,4,F,8.86830320670016
66,4,F,9.02965441960485
67,4,F,9.19237362857309
68,4,F,9.2196221931645
69,4,F,9.02761775074212
70,4,F,9.3719084466874
71,4,F,9.27140066187338
72,4,F,9.07616070571217
73,4,F,9.18468886915419
74,4,F,9.05888249826003
75,4,F,9.13227865637877
76,4,F,9.15446372162915
77,4,F,9.0959839142405
78,4,F,9.03778646801822
79,4,F,9.11149084870779
80,4,F,9.09331911061863
81,4,F,9.08622884108584
82,4,F,9.16608417344601
83,4,F,9.567765992729
84,4,F,9.15320770002805
85,4,F,9.14071037821493
86,4,F,9.0044682689871
87,4,F,8.82061220724237
88,4,F,9.0342156324438
89,4,F,9.0405405982546
90,4,F,9.31642640187127
91,4,F,9.04085777326097
92,4,F,9.06634153787314
93,4,F,8.75724959063974
94,4,F,8.99359729272537
95,4,F,9.22823040773751
96,4,F,9.20335725723745
97,4,F,8.92831854369019
98,4,F,9.20468669874217
99,4,F,8.79569272244786
100,4,F,8.93755426061934
1,5,F,10.3572959719849
2,5,F,9.77187785958676
3,5,F,9.39120178982229
4,5,F,10.0944003943275
5,5,F,10.5209835873099
6,5,F,10.3775893849444
7,5,F,10.1003044265142
8,5,F,9.90680414920266
9,5,F,9.66628806610533
10,5,F,9.83629885521903
11,5,F,9.54345268959098
12,5,F,9.73051020313567
13,5,F,10.6133506671886
14,5,F,9.64980377111474
15,5,F,9.96293217714527
16,5,F,10.121251750398
17,5,F,10.1818678893435
18,5,F,9.90299715146404
19,5,F,9.63982917988246
20,5,F,9.89829602388434
21,5,F,9.69548910347192
22,5,F,9.92729649598751
23,5,F,9.62326065958351
24,5,F,9.86830213478297
25,5,F,9.76728063563147
26,5,F,9.74673409244651
27,5,F,9.97398914195282
28,5,F,9.93399592738028
29,5,F,10.5874085586288
30,5,F,10.125254947265
31,5,F,10.0519387764502
32,5,F,9.61058088263334
33,5,F,10.3366714258154
34,5,F,9.51770577778034
35,5,F,9.82400695798285
36,5,F,10.1269874995964
37,5,F,9.84198701212583
38,5,F,10.3048999829564
39,5,F,9.88932236825005
40,5,F,9.82838130300277
41,5,F,10.1367201868754
42,5,F,9.91085344871217
43,5,F,9.74180905519288
44,5,F,9.65063355294441
45,5,F,10.1662422336148
46,5,F,10.1338267366057
47,5,F,9.51969502614521
48,5,F,10.0165449973186
49,5,F,9.68835247239965
50,5,F,9.91059160964776
51,5,F,10.1841719780553
52,5,F,9.55370745559494
53,5,F,9.52450548969309
54,5,F,9.70697700562689
55,5,F,10.0399337439689
56,5,F,9.87598007741618
57,5,F,10.0290611705397
58,5,F,9.96597913540012
59,5,F,10.0672477510368
60,5,F,9.95386456803651
61,5,F,9.66562640704107
62,5,F,9.98992440367239
63,5,F,9.95307866525419
64,5,F,10.0292727724402
65,5,F,9.63595780973177
66,5,F,10.3841264068918
67,5,F,9.68270288272712
68,5,F,10.0745436438836
69,5,F,9.58357393557057
70,5,F,10.0330811900207
71,5,F,9.63990157599496
72,5,F,9.44288068529108
73,5,F,9.78344814581784
74,5,F,9.91070456626398
75,5,F,10.3021006889443
76,5,F,10.4987280245651
77,5,F,9.71357269441044
78,5,F,10.5736437839618
79,5,F,9.95558889685091
80,5,F,9.74304540586669
81,5,F,9.42895204072102
82,5,F,9.90464258899009
83,5,F,10.0582700336682
84,5,F,9.76754623424341
85,5,F,9.8644399438612
86,5,F,9.91658495794647
87,5,F,9.82709189873126
88,5,F,9.90254660986754
